id	text	HS	TR	AG
27	I love my religious brothers and sisters, but @realDonaldTrump, FUCK YOU, YOU'RE NOT EVEN A REAL THEOCRAT YOU FAT USLESS BITCH.	0	0	0
28	@HanSimpkin Wait till you've got gin tomorrow you won't have it then cock	0	0	0
29	There's interesting insight to uncover and understand if you want to go down that rabbit hole.	0	0	0
30	@chiefrepublic1 @TandtheB LOL... they didn't applaud a rape threat.. .how long are you going to ride that shit?	0	0	0
31	Hey ladies and men, rape, and sexual assault, etc of any sort is not acceptable in society. For those of you who commit these acts, pls die.	0	0	0
32	We don't know about you , k.inne bare fan ho ap bh cricket k. @fahadmustafa26 @rummanraees15 @realshoaibmalik @babarazam258 https://t.co/2S7e4deOcn	0	0	0
33	@scottygb PS: so happy we kicked your ass off the continent in 1776. Can't imagine living in a socialist rat hole emulating 1984.	0	0	0
34	@realDonaldTrump Dont you mean killing Americans. You lowlife piece of garbage i hope you rot in hell you son of a bitch	0	0	0
35	@realDonaldTrump Trump, the only thing you worship is Putin’s dick and money.	0	0	0
36	how small a cock do you have to have to park sideways in the Tesco car park?? Flexing your Ford Focus lol	0	0	0
37	@TMZ I don't want to blame the victim but this makes it difficult. Are you a ho just lookin for money or are you a victim looking for justice?	0	0	0
38	@MrStephenHowson you had a great chance to show everyone that you’re not a cunt on tv tonight and you fucked it up.	0	0	0
39	@sugayiffer Buy more RAM, girl :P	0	0	0
40	@glaiveXD WHERE THE FUCK AM I U STUPID CUNT	0	0	0
41	PLAY MUSICAL CARS ALL YOU WANT...IM LIKE YOU...GOTTA KILL ME TO MAKE ME STOP...YOU HAVE NO DICK https://t.co/Qb7nO1HjuI	0	0	0
42	@LiamSeaward8 @_KramerPeter Bitch you don't talk about my fucking kids. My fucking kids eat better meals than you'll ever eat in your life, you see that?	0	0	0
43	@PrideofGypsies a bunch of people who can’t separate a character you play, from the real world, are moaning that you “glamourise rape”, ugh!	0	0	0
44	@realDonaldTrump You are a dumb cunt twit! When people start dying you should be tried for murder you asshole	0	0	0
45	If you're fearful to go down rabbit hole, then those who spread oppression, have you right where they want you- 100% controlled. - #Cagsil	0	0	0
46	Silent about harassment? NOPE. Silent about sexual assault? NOPE. Silent about rape? FUCK NO. You can't shut me up on a GOOD day.	0	0	0
47	@TheMelissaMilf U should be sucking and gagging on my cock Melissa and me Fucking that hot Booty and stunning sweet Pussy tonight Love 😚😚😚	0	0	0
48	@meanwhile_0 eats entire bags of dicks. Like, seriously. I've seen him eat an entire bag of disembodied cocks. He's a ravenous cunt m8	0	0	0
49	@_phriss Dick????😭😭.. Are you seriois now 😒	0	0	0
50	Someone asks you to catch a rare fish with like two days left in the season and it's like dude can you not be such a dick	0	0	0
51	Now the USA, the EU and Russia can close their borders for illegal migration of fake refugees. The migrants have to assimilate and to work, or have to go home.  I'm also expecting the deislamisation of Europe. It doesn't work that way!	1	0	0
52	LMAOOOOOOOO!!! Stuff I Say... Some stuff be so damn Funny...Especially when it comes to Illegal Immigrants who are full fledged CRIMINALS Coming to America &amp; I said "Fall off the Boat &amp; Fall all the way, as in a GO BACK HOME In even that". Funny &amp; yet Truthful lolll lol dude smh https://t.co/hAwd3GNHDc	1	0	1
53	The German Government Pays for 3 Week Vacation for Refugees to Go Home - https://t.co/zVw9e2CU4Q https://t.co/VlYsYYOy41	1	0	0
54	#sendthemhome why does Twitter keep deleting this?	1	0	1
55	Mexico’s not sending their best. A lot of them are drunks and thieves engaged in constant criminality. #StopTheInvasion #DeportThemAll #NoAmnesty #BuildTheWall  https://t.co/hsWyOIdZ3B	1	0	1
56	Go back and take a vacation to that land you fled in terror for your life from. https://t.co/1jvXiJAVms	1	0	0
57	Danish #Muslims Insist On Wearing A #Niqab (or FaceVeil) &amp; Still Desire To Live As A Non-Person Ghost. Muslims Are Hopelessly Unable To Assimilate.  #SendThemBack.  @victororban  @realDonaldTrump @GiuseppeConteIT @Peggynoonannyc https://t.co/nd4XAzn5ns	1	0	0
58	The German Government Pays for 3 Week Vacation for Refugees to Go Home | Armstrong Economics https://t.co/bEo7b2ENPV	1	0	0
59	last night outside friend's flat in Saxony-Anhalt Germany' she watched a fight between some German nationalists and Africans immigrants. she heard "heil hitler" "go home" "i"'ll kill you" from the Germans. From the Africans? "I don't want trouble but I will fight if you touch me	1	0	1
60	American taxpayers are billed $8 BILLION EVERY YEAR for REFUGEES ???????? 😲🤬That’s ABSURD &amp; should be illegal! When did we vote for that?????????!!! #NoMoreRefugees https://t.co/mR8PVNUBqT	1	0	0
61	Burundian refugees should go home! https://t.co/it0c7LmfXg https://t.co/LB5NzdQFmw	1	0	0
62	Illegal Alien Awaiting Deportation For Child Rape, Now Caught Producing Child Porn https://t.co/t7FLU2CjEy	1	1	1
63	GERAMNY: African rapefugee climbs into house, steel expensive goods, rook a knife and abuse a girl of the family. https://t.co/fVXhWMYcE8	1	0	0
64	No benefits to any immigrants !! Come here &amp; make it on your own, or go back home !! @POTUS https://t.co/1gRTNP5H3L	1	0	1
65	No, I am not paying for his wall. It is a waste of money cause it will not stop illegal immigrants. Most come on a visa and just never go home. https://t.co/HkiMyqHrEa	1	0	0
66	DC stay tuned, antifascists, queer people, black and brown people are mobilizing against hate in Washington, DC Help spread the word and tell fash not to come https://t.co/UrtZBYD1RH https://t.co/lNMJPE6kZD	1	0	0
67	@marnard808 @a_dub_alva @emrazz @Prof_Tweeper @TomiLahren So you cant stand your own kind either you gotta breed with something else.	1	0	1
68	The German Government Pays for 3 Week Vacation for Refugees to Go Home | Armstrong Economics https://t.co/z9x41OoWeq	1	0	0
69	* Sweden.  The Alternativ for Sverige:  “Syria is now ready to receive close to 900.000 Syrian refugees in the coming months.  It is now time for all 150,000 Syrians who came to Sweden since the outbreak of war in 2011 to go home!” https://t.co/hccQmsQ9Vl #v4 #visegrad https://t.co/v70bVzAjIW	1	0	0
70	anyone who thinks we should not welcome refugees should read this. @ilctr @tylercowen @IIRGMU https://t.co/iLGt7NwdM8	1	0	0
71	How the hell is this not illegal?  #StopTheInvasion  #MuslimIlegals https://t.co/oHf855ZC2Q	1	0	0
72	Illegal aliens waiting for first class #MSC container-shippping in @PortofAntwerp #Antwerpen #StopImmigration https://t.co/t32BDR9RlO	1	0	1
73	Got an IDEAL. If we stopped giving illegal immigrants Food Stamp, Welfare would they go home. And if they are illegally here, why should they get any of this? Also, has anyone has the amount of our tax dollars go to these folks? Just asking!  😎🎩	1	0	1
74	@1bZhEFkl9MhwosZ @KAFTA78 @CanEmbSA Of course not!This man 🇨🇦 wanted to free wrote something Saudi Arabia did not like!But your country is full of slaves! Because you do not know the truth of the Bible you will never be free! We let people be free &amp; choose for themselves, but apostasy in Islam is a death sentence	1	1	0
75	Sick barstewards! This is what happens when we put up the refugees welcome signs! They not only rape our wives or girlfriends, our daughters but our ruddy mothers too!! https://t.co/XAYLr6FjNk	1	0	1
76	Hundreds of migrants armed with sticks and homemade flamethrowers broke through the border fence in Ceuta, according to the Spanish Civil Guard. Over 100 migrants and 15 border agents were injured in the fight.  Well the Spanish are saying "refugees welcome" tourists are not...	0	0	0
77	Boy, 16, fights for his life after being stabbed on London street https://t.co/PYRrmaN3tz	0	0	0
78	And why should he now buckle to their demands that he swear undying trust for these A******* ?????  THEY are the enemy of this nation! #Treason https://t.co/YBuCPtPp7e	0	0	0
79	The German Government Pays for 3 Week Vacation for Refugees to Go Home -INCLUDING airfare BACK to the very countries that claim they are fleeing because it is unsafe. | Armstrong Economics https://t.co/6vNlFcwQa9	0	0	0
80	Wrong. Doug Ford simply wants the federal government to foot the bill because the Liberal government was not prepared and budgeted to welcome the surge in refugees. Nobody is strictly against immigration but it must be orderly otherwise taxpayers pay through their nose. https://t.co/qscloK5CnZ	0	0	0
81	American Chiropractic Association Members Advocate for Veterans Health, Student Debt Relief https://t.co/F17fk9hxuY	0	0	0
82	MSM agreement includes covering for HRC https://t.co/kM5MOoHNt4	0	0	0
83	@11head_shot I am not forcing anyone. I am just putting out my view. People believe it or not is their prerogative.Even if a single person agree with me, it is ok with me. Thanks,	0	0	0
84	Huge show of solidarity &amp; powerful speeches at #refugeeswelcome rally - we will not allow @SercoGroup to throw vulnerable families on to streets - say it loud &amp; say it clear, refugees are welcome here! #peoplemakeglasgow @AbdulBostani2 @ChrisStephens @alison_phipps https://t.co/H6sVocxG3L	0	0	0
85	Tajikistani Charged With Beating New York University Professor To Death https://t.co/U2zEwQ19Av   Another animal.../	0	0	0
86	@djf510 You mean it's not true?	0	0	0
87	Child Prostitution: Feds Break Up Mexico-to-Queens Sex Trafficking Ring https://t.co/4Jd6lIN3jy via @WNYC	0	0	0
88	Home Office guilty of "a serious breach of the duty of candour and cooperation" regarding children entitled to enter UK. Where did these children go? Many disappeared, which means they are lost or trafficked. How can we have come to this? @AmberRuddHR https://t.co/JjCttbKZKl	0	0	0
89	[NEW POST] In Switzerland, people have managed to get a referendum changing the financial system with the same promises of Karl Marx that will end all financial crisis to come forever. It is scheduled for June 10th, 2018 after they got 100,000 signatures https://t.co/Gt4QtwEp1o	0	0	0
90	#DACA program should be fully restarted, federal judge rules. https://t.co/Ca1IRV6LgO #EndDACA #SendThemBack	0	0	0
91	The Plague of One-Dimensional Analysis https://t.co/SkolQoFlph https://t.co/WViBMj8Kao	0	0	0
92	@IDS_MP P.S ..Why do you not pay unemployed people who do endless hours of voluntary work they do that to give something to the community	0	0	0
93	@Redbaiternz Seriously, Amy and Cindy are BFFs, I know that for sure. Hmm, mmm.	0	0	0
94	This Open Letter From Detained Immigrant Parents To The American People Is Soul-Crushing https://t.co/LcKPxH8y76	0	0	0
95	The German Government Pays for 3 Week Vacation for Refugees to Go Home | Armstrong Economics https://t.co/h6QeFqP6Vs	0	0	0
96	Russia has said that within the coming months, nearly 900,000 Syrian refugees will be able to go home. https://t.co/lHdkiiDfJK https://t.co/jIf5mqQ0N7	0	0	0
97	Orthodox Church attacked in hate crime against Christians.  The Church of Michael the Archangel in Grozny was attacked by 4 armed jihadists this evening service. Worshippers and law enforcement officers killed.... https://t.co/rezUd1MOoL	0	0	0
98	UK MPs probe unpublished UN â€˜sex-for-foodâ€™ findings: report https://t.co/k6Z2fHVFXU	0	0	0
99	\"Large areas have been evacuated and people were moved to shelters to wait for the waters to subside.\" https://t.co/bk0yibqpPs	0	0	0
100	what a f**king political muppet. https://t.co/dYUVH5B4Oo	0	0	0
