id	text	HS	TR	AG
125	@OrgMujeresCI Estoy de acuerdo, pero no sé puede minimizar o relativizar la violación o el acoso sexual. Sea de rocas y famosas o no	0	0	0
126	@anaisbernal Pásalo muy bien,te lo mereces 😘😘	0	0	0
127	@erreleny @Fel_blan Buena descripción, aunque se te ha olvidado decir la puta moralina. Todos tienen que ENSEÑARTE y EDUCARTE con su puta moralina de los cojones. Es una serie muy milenial.	0	0	0
128	Esa gente insultando y condenando al asesino de Diana Quer pero que luego le quitan importancia al acoso, violación y maltrato a la mujer...	0	0	0
129	@Maridolvers Perra te lo merecías! 😎	1	1	1
130	Qué es un partido doble mixto de tenis? Un single de hombres con obstáculos.	1	0	0
131	@Milenio Cállate rata asquerosa priísta de toda tu perra vida. No te cansas de robar. Pudrete hijo de tu puta madre.	0	0	0
132	Que es una Mujer embarazada de dos nenas y un varon? Un kit de limpieza con instrucciones.	1	0	0
133	¿Cuál es la peor desgracia para una mujer? Parir un varón, porque después de tener un cerebro dentro durante 9 meses, van y se lo sacan.	1	0	0
134	¿Porque se dice que la cerveza tiene hormonas femeninas? Porque cuando la bebes conduces mal, dices tonterias y nadie te hace caso.	1	0	0
135	@BeeluArzola callate puta mal parida perra re culia inconciente callada deberias estar maldita	1	1	1
136	@erices16_ Cállate vos wacha trola deja de confundir las hormonas puta	1	1	1
137	YA CALLATE PUTA PERRA ME TIENES CANSADO CON TUS PENDEJADAS	1	1	1
138	Te odio Lidia, no te mereces a Francisco, #perra #LasChicasDelCable2	1	1	1
139	@GustavoOrozcoH No le enseñaron modales a esa antifujimorista perra mermelera del foro de sao paulodebretch?esta ofendiendo a millones de votantes	1	0	1
140	@gonzozaqw @_piturros tu callate un mes perra	1	1	1
141	Te voy a enseñar lo que es una perra, PERRA.	1	1	1
142	Gracias Twitter por enseñarme que el truco para ser famosa es estar bien buena y ser bien puta	1	0	0
143	@abc_es @HiginiaRoig Ya está la niña del exorcista diciendo tonterías. Has visto lo que a hecho la guarra de tú hija.	1	1	1
144	@Laura99CM Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!	1	1	1
145	@xVolkovaVera Que guarra. Búscate ya un mozo.	1	0	1
146	Lisa agradece que tenes un dueño con corazón porque te mereces que te ahorque perra hdp😡	1	1	1
147	@SoyDas117 @LuckasDroiidYT1 @BrandonGaming6 @LlinxaYT Y tu eres mi esposa ve a la cocina zorra >:v	1	1	1
148	'¿La mitad de sueldo por ser mujer?' http://t.co/HXOVOaiOuj Así es, porque aguantarlas cuesta el doble. #TomaDosTazas	1	0	0
149	¿Por qué una mujer no puede ser guapa e inteligente? Porque sería un hombre.	1	0	0
150	-Veis chicas? Nunca hay que tener piedad con estas putas. Hay que educarlas en todo momento y enseñarles para lo que sirven: para nuestra diversión. Le voy a reventar su culo de puta mientras te lo come, y por su bien, espero que se esfuerce o no podrá se	1	1	0
151	El ínclito @sanchezcastejon cobra la sanidad a los inmigrantes legales mientras la regala a los sin papeles | Economía Digital https://t.co/BCxnADAVH6	1	0	1
152	Que tierra dejamos a nuestras generaciones. El planeta es de todos; no solo de unos pocos. Ahora ya me estan quitando el aire para respirar. No. Aquí o nos salvamos o morimos todos¡ incluídos refugiados pateras-etc Manda Huevos.  El calor me afecta al cerebro pk es inteligente	1	0	0
153	Llevan razón, no hay ningún motivo para estar en alerta por terrorismo. Los migrantes,inmigrantes o como quieran llamarlos q están estando en España es la religión del amor, son educados y cívicos. Yo ya puestos os quitaría las armas y os daría flores o piruletas para defenderos https://t.co/fVEb0Kiyul	1	0	0
154	ULTIMA HORA ., el ministro del interior Grande Marlaska ha dicho a los guardias civiles de Ceuta que cuando salte la valla el negro de wuassap, que lo detengan y lo trasladen inmediatamente a su domicilio en Madrid	1	1	1
155	(@RoseDMatagalpa) A esas Bestias irán a poner con Gabacha Blanca,? la Sangre de Cristo tiene poder y nos libre de esas hordas criminales #SOSNicaragua #AYUDA !!!!!Estamos rodeados de asesinos por doquier..#SALVENANICARAGUA!! #SOSNicaragua #fueraO… https://t.co/GXhaNGmT6Y https://t.co/1GuWYRk4jb	1	0	1
156	Hay que pasarle al canciller Moncada una bolsa de gabacha, para cuando salga de la sesión, se tape la cara 😂😂😂	1	1	0
157	El problema de algunos no es “la xenofobia" sino que ”la aporofobia”  (rechazo al pobre).  A nadie le molesta el inmigrante millonario como Paulman sino el haitiano pobre que necesita ayuda.	1	0	0
158	#politivida Si no te gusta, puedes cambiarlo. DESTINO SUDACA   https://t.co/2tpPakccSk	1	0	0
159	Este negro políticamente incorrecto es un facha porque defiende a España mucho más que los politicuchos que nos gobiernan, si fuera presidente controlaría mucho mejor la inmigración indecente e invasora, que el okupa bocazas que nos gobierna. https://t.co/WXyLR7WtWb	1	0	1
160	Ideas: para intentar recuperar la popularidad perdida, el fujimorismo empezará con el discurso xenófobo anti inmigración venezolana. Y voilá, he ahí nuestro partido fascista.	1	0	1
161	En Barcelona un grupo de inmigrantes indocumentados agrede gravemente a un turista norteamericano qué defendió a una mujer acosada por estos bandidos,tan poca hombría tienen los españoles qué no defienden a sus mujeres o son como la manada.?	1	0	1
162	1.-Los va a mantener Ud., porque desde su Palacio de Doñana,?se vé todo muy bonito. Es que no hay manera de que comprendan, PSOE y PODEMOS que no hay presupuesto para esta avalancha? Que somos la mofa Europea? Que todos los camellos de Lavapiés, MADRID, son inmigrantes ilegales? https://t.co/t1yeNXJnGH	1	0	1
163	- Los catalanes somos españoles. Y si no te gusta te jodes, porque como catalán serás español toda tu vida.  + Això és com a mínim discutible. Del que no hi ha dubte és que, per molta bandera espanyola que portis, per a gran part d'espanya tu sempre seràs "un puto catalufo" 🤷	1	0	0
164	Otro artículo más de la canalla inmigracionista justificando la necesidad de destruir nuestra cultura en aras de una economía que nada entiende de integración, costumbres y convivencia. Si el problema son las pensiones, que se reformen, no nuestras vidas. https://t.co/fmPHT5OjkD	1	0	1
165	Muchísimas gracias!!! Además, con la inmigración de los africanos, nos vais a llenar las calles de heroína y comercio ilegal... Gracias de todo corazón! Además de acortar nuestras listas de espera en la sanidad, gracias a la sanidad pública universal. 👍 https://t.co/7rm0mAai4C https://t.co/gY6bTH0MG3	1	0	0
166	Los árabes son los hombres más descarados y ligadores del mundo	1	0	1
167	tu vete a la verga, puto sudaca	1	1	1
168	A buenas horas, mangas verdes. Tenemos al líder del partido con más fuerza en el Congreso deshumanizando a los inmigrantes con cifras inventadas y luego haciéndose fotos con ellos. Pero no, aquí no habrá populismo:) https://t.co/57cuoVsTMx	1	0	0
169	Amaneció de GOLPE se acerca de nuevo? Palabras de INDOCUMENTADO. Análisi... https://t.co/OC4wmrbLgA vía @YouTube	1	0	1
170	https://t.co/l7lBo0jBCh... Y el estado se hace pendejo con pagarles sus perdidas, recordemos que el mayate  Rafael Moreno Valle se robo la lana de varios seguros	1	1	1
171	Sánchez da Sanidad gratis a los sin papeles... pero no a los inmigrantes legales  https://t.co/SNpZKhBIsh  Enviado desde @updayESP	1	0	1
172	Decenas de víctimas en ataques de la coalición árabe contra Al Hudaida https://t.co/iiacL0qfmw	1	0	0
173	Los manteros subsaharianos corren a sillazos a la Policía https://t.co/OXY9ZhnW5y vía @Periodistadigit	1	0	1
174	Hay racismo cuando no creen que soy su hermana porque soy güera @unpentagono @medicenlore https://t.co/9iHeSpHOIi	1	0	0
175	Ada Colau no aprende. La alcaldesa de la Ciudad Condal quiere más inmigrantes subsaharianos en Barcelona. La podemita, que no ha condenado el ataque de los manteros al turista, solamente habla para exigir que lleguen más inmigrantes ilegales. https://t.co/kkNRjXWIZK	1	0	0
176	Una historia más de los "arabes" en nuestro país. Sumado a los hondureños colocados en "puestos clave". Ha sido histórico. #LADRONES https://t.co/UrDQbL4Ux8	0	0	0
177	Los árabes y los venezolanos jajaja https://t.co/4UPxNGicsX	0	0	0
178	Pues en los primeros quince días de vida, el blog ya ha recibido visitas de Austria, Emiratos Árabes Unidos, Costa Rica, Eslovenia, Armenia, Panamá, Malta, Japón, Perú o República Dominicana. Sois grandes.   https://t.co/zvRie0eKsF	0	0	0
179	@TinedoGuia escuchándote en vivo en Abudhabi, emiratos árabes, un abrazo	0	0	0
180	FIFA eWorld Cup: un árabe se consagró campeón del Mundial de ... - https://t.co/CpW3k82CMV https://t.co/cWKCmchjUL https://t.co/7T8ibcr0Vh	0	0	0
181	Migrantes que saltaron la valla de Ceuta responden a las acusaciones de violencia: "La única arma que tenemos es el coraje"  https://t.co/s3legM6gRv https://t.co/YjZwoNBCw5	0	0	0
182	Una valla de taxis y taxistas en la frontera de Ceuta y Melilla sería infranqueable.	0	0	0
183	Migrantes que saltaron la valla de Ceuta responden a las acusaciones de violencia: "La única arma que tenemos es el coraje" https://t.co/5lNI8NjukF vía @desalambre	0	0	0
184	Unos manteros agreden a un turista en Barcelona, Sanchez se carga el jefe de la UCO, salto a la valla en Melilla por el efecto llamada, subida de impuestos, sanidad universal para los ilegales, concesiones a independentistas catalanes y vascos... Pero vamos a hablar de Franco...	0	0	0
185	▶ En Foggia, Italia, 12 jornaleros inmigrantes han fallecido en un accidente de tráfico. Y en Bolonia, el choque entre dos camiones ha provocado una explosión que habría dejado dos muertos y 67 heridos. https://t.co/yxDAHs5ftl https://t.co/OseSRlYDFg	0	0	0
186	Yo COCINO..Y QUE? Prefiero comprar en DISCO, o JUMBO, y espero q Larreta deje entrar a la cadena Walmart y los franchutes de Carrefour dejen de robar	0	0	0
187	Me ha gustado un vídeo de @YouTube (https://t.co/WwDPX6yAGs - ASALTO A LA VALLA DE CEUTA: 22 Guardias Civiles heridos. Y el gobierno	0	0	0
188	"La Güera" le ofreció un trabajo de mesera, donde le presentaron al sujeto: "era un tipo guapo, alto, de ojos bonitos, como blanco, pelo rubio, cuerpazo", detalla la víctima. https://t.co/6icbcgOOza	0	0	0
189	Yo solo estoy esperando el momento en el que dj Alex suba el remix  Arabe de Ecko y Papichamp	0	0	0
190	La izquierda española pide que se derribe la valla de Ceuta y Melilla para que entren los inmigrantes | El Municipio https://t.co/eg2e4aGhIi	0	0	0
191	La trampa de la ONU: "convertir 710 mil árabes en 5 millones de refugiados palestinos" https://t.co/dG85x0jgrq	0	0	0
192	@davidzepeda1  Hoy ha tocado un paseo por recintos árabes.Tú, siendo morenito y tal,te iría muy bien el papel de califa de aquella época ( siglo X) ¿no crees? De momento  contemplaremos su legado!! 1beso💕 https://t.co/aYjl6vvZaM	0	0	0
193	Agentes de la Patrulla Fronteriza de USA detuvo a un grupo de 95 inmigrantes #indocumentados en el desierto del suroeste de #Arizona.   #BuildTheWall https://t.co/8Z2f4PFWPM	0	0	0
194	Pero mire que llegó, la güera Salomé	0	0	0
195	Qué ganas de comer unas árabes	0	0	0
196	si alguien tiene la imagen del pokemon ese bailando con el machupichu hoy no cobras tirititirititiritiirii que la ponga	0	0	0
197	El ciudadano ruso Denis Yakovlev facilitó en Florida al menos 50 matrimonios falsos entre estadounidenses e inmigrantes indocumentados —en su mayoría asiáticos— por los que cobraba hasta $20,000. https://t.co/u9g3SagXGi	0	0	0
198	Toy feliz porque me voy a comer 12 empanadas árabes viendo naruto	0	0	0
199	Los Barrios, un pueblo solidario ante el "caos" con la acogida de inmigrantes en pabellones https://t.co/QgZNL4ikm0 vía @elmundoes	0	0	0
200	los viernes por la noche los moritos y su reggaeton arabe no dejan descansar, https://t.co/flg5tQnp0S Forniteo	0	0	0
